canvas,英[ˈkænvəs]美[ˈkænvəs],"n.
帆布; 油画（布）",http://res.iciba.com/resource/amp3/oxford/0/11/6d/116d0cf8ddf234ba899e4dd8ca11b1b7.mp3,http://res.iciba.com/resource/amp3/1/0/fc/c7/fcc790c72a86190de1b549d0ddc6f55c.mp3
fabric,英[ˈfæbrɪk]美[ˈfæbrɪk],"n.
织物; 结构",http://res.iciba.com/resource/amp3/oxford/0/10/48/104801577760a6e6afe6857af9bce439.mp3,http://res.iciba.com/resource/amp3/1/0/62/18/6218832562965f9e1a11f138eb84e52b.mp3
match,英[mætʃ]美[mætʃ],"n.
比赛; 火柴; 敌手; 相配的人/物; 相似的东西; 婚姻
v.
与…相称; 相似; 配对; 比得上; 使较量; 使优于; 适应",http://res.iciba.com/resource/amp3/oxford/0/23/75/2375181e1c9e29e00e9a7b6f68a28312.mp3,http://res.iciba.com/resource/amp3/1/0/e3/cc/e3cc92c14a5e6dd1a7d94b6ff634d7fc.mp3
sweep,英[swiːp]美[swiːp],"v.
打扫，拂去; 梳（头发）; 挥动（手臂）; 席卷，扫过; 迅速传播; 大模大样地走; 彻底删掉; 延伸; 轻松赢得
n.
打扫; 挥动; 搜索，扫荡; 广泛性; (道路、河流)绵延弯曲的地带",http://res.iciba.com/resource/amp3/oxford/0/9a/dd/9add892ec4c870afd275558f0a56d08f.mp3,http://res.iciba.com/resource/amp3/1/0/c3/5b/c35b03aad7d369883ef1b5e96c1d28c0.mp3
jar,英[dʒɑː(r)]美[dʒɑːr],"n.
罐子; （啤酒）杯; 缸; 猛然震动
vi.
发出刺耳的声音; 不和谐; 不一致; （对…）产生不快的影响
vt.
使震动",http://res.iciba.com/resource/amp3/oxford/0/7d/93/7d93ea9b965e725ad1a10615f61f1bdc.mp3,http://res.iciba.com/resource/amp3/1/0/68/99/68995fcbf432492d15484d04a9d2ac40.mp3
fragile,英[ˈfrædʒaɪl]美[ˈfrædʒl],"adj.
脆弱的; 易碎的; 精巧的; 虚弱的",http://res.iciba.com/resource/amp3/oxford/0/b5/ec/b5ec1505904b270e89dd65d44eacfd3d.mp3,http://res.iciba.com/resource/amp3/1/0/70/39/7039c71bf73a80a9dc643fc5d2bcc45a.mp3
wooden,英[ˈwʊdn]美[ˈwʊdn],"adj.
木制的; 呆板的",http://res.iciba.com/resource/amp3/oxford/0/ac/cc/accc7e4d9c2134e69fccbc85adda2e1b.mp3,http://res.iciba.com/resource/amp3/1/0/38/98/389814bc463d1b76511dd3834c108275.mp3
crystal,英[ˈkrɪstl]美[ˈkrɪstl],"n.
结晶，晶体; 水晶（玻璃）",http://res.iciba.com/resource/amp3/oxford/0/3d/37/3d37a9ec88881b7f6caa906314d7381a.mp3,http://res.iciba.com/resource/amp3/1/0/cc/98/cc989606b586f33918fe0552dec367c8.mp3
badge,英[bædʒ]美[bædʒ],"n.
徽章; 象征",http://res.iciba.com/resource/amp3/oxford/0/16/fa/16fa58859d052990fe2a5836e38834ea.mp3,http://res.iciba.com/resource/amp3/1/0/dc/dd/dcdd1274f35ac5a8573e07b0582ad92c.mp3
camera,英[ˈkæmərə]美[ˈkæmərə],"n.
照相机; 摄影机",http://res.iciba.com/resource/amp3/oxford/0/fc/2c/fc2cd933d301bf3d2293b418ca24619c.mp3,http://res.iciba.com/resource/amp3/1/0/dd/6d/dd6d2dcc679d12b9430a9787bab45b33.mp3
lantern,英[ˈlæntən]美[ˈlæntərn],"n.
灯笼; 灯塔; 灯罩; 灯饰",http://res.iciba.com/resource/amp3/oxford/0/30/c1/30c1bdc192f59ec4b711a8453c57c6b6.mp3,http://res.iciba.com/resource/amp3/1/0/9e/87/9e87ffce6fc80e84029d401822c71013.mp3
forge,英[fɔːdʒ]美[fɔːrdʒ],"n.
锻造车间; 熔铁炉，锻铁炉; 铁匠铺，铁匠工场
vi.
锻制，锻造; 伪造; 犯伪造罪
vt.
锻造; 伪造; 捏造，编造; 制订",http://res.iciba.com/resource/amp3/0/0/22/84/228410f5c71f8af2b1266b70fa7824eb.mp3,http://res.iciba.com/resource/amp3/1/0/22/84/228410f5c71f8af2b1266b70fa7824eb.mp3
trash,英[træʃ]美[træʃ],"n.
垃圾，废物; 断枝，碎块; 废话; 社会渣滓
vt.
废弃; 拆毁; 搞垮，贬低; 从…上除去细枝或枝条",http://res.iciba.com/resource/amp3/oxford/0/17/2d/172d1ca0517d58a7e9d70157de33ba34.mp3,http://res.iciba.com/resource/amp3/1/0/30/63/30639096bfe4ec4b9f17696ef1d02b9f.mp3
lime,英[laɪm]美[laɪm],"n.
酸橙; 石灰; 绿黄色; 椴树
vt.
撒石灰于; 涂粘鸟胶于",http://res.iciba.com/resource/amp3/oxford/0/f8/17/f8176d38aa2ab27acc70bf3948c65ffe.mp3,http://res.iciba.com/resource/amp3/1/0/67/c0/67c0ecaf5a1b782b11146e9fbe80f016.mp3
drawer,英[drɔː(r)]美[drɔːr],"n.
抽屉; 开票人，出票人",http://res.iciba.com/resource/amp3/oxford/0/77/42/7742becfd4d41ec484e1f91e0084e72c.mp3,http://res.iciba.com/resource/amp3/1/0/06/2f/062fa598b0c2852221e15e2085f0959a.mp3
fridge,英[frɪdʒ]美[frɪdʒ],"n.
冰箱",http://res.iciba.com/resource/amp3/oxford/0/e6/5a/e65a9875bf21033ef8d852ef5129508e.mp3,http://res.iciba.com/resource/amp3/1/0/2b/e9/2be977f3ff92dd10bc5162197560dccf.mp3
shave,英[ʃeɪv]美[ʃeɪv],"vt.& vi.
剃须，剃毛
vt.
剃，削去; 修剪; 切成薄片; 掠过
n.
刮脸，剃胡子; 修面; <口>侥幸逃过，幸免; 剃刀，刮刀",http://res.iciba.com/resource/amp3/oxford/0/ce/1d/ce1db51dd0c27f4c9d3df179544b3a04.mp3,http://res.iciba.com/resource/amp3/1/0/d9/39/d9395a48b1a0f22a057dc35f3515c733.mp3
shear,英[ʃɪə(r)]美[ʃɪr],"vt.
剪羊毛; 切断; 剪切; 剥夺
vi.
剪切; 修剪; 穿越; [力]切变",http://res.iciba.com/resource/amp3/0/0/05/cc/05cc758014bcb32846a820d772f8bb46.mp3,http://res.iciba.com/resource/amp3/1/0/05/cc/05cc758014bcb32846a820d772f8bb46.mp3
